"id_producto","nombre","descripcion","precio","stock","stock_minimo","fecha_vencimiento","activo","id_categoria"
29,Espresso,Café espresso tradicional,9.00,41,10,"2027-12-31",1,1
30,Americano,Café americano,9.50,50,10,"2027-12-31",1,1
31,Latte,Café con leche,12.50,50,10,"2027-12-31",1,1
32,Cappuccino,Espuma de leche y espresso,14.00,50,10,"2027-12-31",1,1
33,Mocha,Chocolate y espresso,14.50,50,10,"2027-12-31",1,1
34,Té Verde,Infusión de té verde,8.00,40,10,"2028-06-30",1,2
35,Té Negro,Infusión de té negro,8.00,40,10,"2028-06-30",1,2
36,Manzanilla,Infusión de manzanilla,7.50,40,10,"2028-06-30",1,2
37,Iced Latte,Latte frío,14.00,30,8,"2026-08-03",1,3
38,Frappé de Vainilla,Frappé de vainilla,16.00,30,8,"2026-08-03",1,3
39,Limonada,Limonada natural,9.50,30,8,"2026-08-01",1,3
40,Pancakes Clásicos,Pancakes con miel,18.50,20,5,"2026-07-30",1,4
41,Waffles,Waffles con frutas,19.50,20,5,"2026-07-30",1,4
42,Tostadas Francesas,Pan brioche con canela,17.50,20,5,"2026-07-30",1,4
43,Jamón y Queso,Sándwich clásico,15.00,25,5,"2026-07-29",1,5
44,Pollo,Sándwich de pollo,16.50,25,5,"2026-07-29",1,5
45,Vegetariano,Sándwich vegetariano,15.50,25,5,"2026-07-29",1,5
46,Brownie,Brownie de chocolate,9.00,75,8,"2026-07-28",1,6
47,Cheesecake,Cheesecake de fresa,12.00,20,5,"2026-07-28",1,6
48,Galleta con Chispas,Cookie artesanal,6.50,40,10,"2026-08-05",1,6
49,Croissant,Croissant de mantequilla,8.50,25,5,"2026-07-29",1,7
50,Muffin,Muffin de arándanos,7.50,40,5,"2026-08-02",1,7
51,Donut,Donut glaseado,6.50,25,5,"2026-08-04",0,7
